EntryID,LigandFormula,LigandMW,LigandID,LigandName,InChIKey,LigandSMILES,LigandofInterest,AsymID,AuthAsymID,EntityID,freeLigand,numTotalCount
9DIK,C16 H17 F3 N4 O,338.328,A1A52,"N-cyclopropyl-1,4-dimethyl-5-{[6-(trifluoromethyl)pyridin-3-yl]methyl}-1H-pyrazole-3-carboxamide",AMRWUDNUTGWQIA-UHFFFAOYSA-N,Cc1c(n(nc1C(=O)NC2CC2)C)Cc3ccc(nc3)C(F)(F)F,Y,"C, F","A, B",2,TRUE,2
9DIK,C17 H21 N4 O9 P,456.344,FMN,FLAVIN MONONUCLEOTIDE,FVTCRASFADXXNN-SCRDCRAPSA-N,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)O)O)O)O,NA,"D, G","A, B",3,TRUE,2
9DIK,C5 H6 N2 O4,158.112,OG6,"6-[bis(oxidanyl)methyl]-5~{H}-pyrimidine-2,4-dione",DUGHQFVNXIWPEA-UHFFFAOYSA-N,C1=C(NC(=O)NC1=O)C(O)O,NA,"E, H","A, B",4,TRUE,2
9DIN,C2 H4 O2,60.052,ACY,ACETIC ACID,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,Y,C,A,3,TRUE,1
9DIN,C3 H8 O3,92.094,GOL,GLYCEROL,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C(C(CO)O)O,NA,D,A,4,TRUE,1
9DIN,Cl,35.453,CL,CHLORIDE ION,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-],NA,E,A,5,TRUE,1
9DL2,C27 H33 N9 O15 P2,785.55,FAD,FLAVIN-ADENINE DINUCLEOTIDE,VWWQXMAJTJZDQX-UYBVJOGSSA-N,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)n5cnc6c5ncnc6N)O)O)O)O)O,Y,"C, Q","A, B",2,TRUE,2
9DL2,C4 H10 O3,106.12,PEG,DI(HYDROXYETHYL)ETHER,MTHSVFCYNBDYFN-UHFFFAOYSA-N,C(COCCO)O,NA,"D, G, I, S, U, W","A, B",3,TRUE,6
9DL2,C9 H8 O4,180.157,53E,"2,3-dihydro-1,4-benzodioxine-5-carboxylic acid",VCLSWKVAHAJSFL-UHFFFAOYSA-N,c1cc(c2c(c1)OCCO2)C(=O)O,Y,"E, T","A, B",4,TRUE,2
9DL2,C H2 O2,46.025,FMT,FORMIC ACID,BDAGIHXWWSANSR-UHFFFAOYSA-N,C(=O)O,NA,"F, H, V, X","A, B",5,TRUE,4
9DL2,C21 H27 N7 O14 P2,663.425,NAD,NICOTINAMIDE-ADENINE-DINUCLEOTIDE,BAWFJGJZGIEFAR-NNYOXOHSSA-N,c1cc(c[n+](c1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N,Y,"J, Z","A, B",6,TRUE,2
9DL2,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,"AA, BA, K, L, M, N, O","A, B",7,TRUE,7
9DL2,C6 H14 O4,150.173,PGE,TRIETHYLENE GLYCOL,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,C(COCCOCCO)O,NA,R,B,9,TRUE,1
9DL2,C8 H18 O5,194.226,PG4,TETRAETHYLENE GLYCOL,UWHCKJMYHZGTIT-UHFFFAOYSA-N,C(COCCOCCOCCO)O,NA,Y,B,10,TRUE,1
9DL3,C27 H33 N9 O15 P2,785.55,FAD,FLAVIN-ADENINE DINUCLEOTIDE,VWWQXMAJTJZDQX-UYBVJOGSSA-N,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)n5cnc6c5ncnc6N)O)O)O)O)O,Y,"C, W","A, B",2,TRUE,2
9DL3,C6 H14 O4,150.173,PGE,TRIETHYLENE GLYCOL,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,C(COCCOCCO)O,NA,"D, G, I, L, X, Y","A, B",3,TRUE,6
9DL3,C10 H7 N O2,173.168,QNC,quinoline-2-carboxylic acid,LOAUVZALPPNFOQ-UHFFFAOYSA-N,c1ccc2c(c1)ccc(n2)C(=O)O,Y,"AA, E, F, Z","A, B",4,TRUE,4
9DL3,C4 H10 O3,106.12,PEG,DI(HYDROXYETHYL)ETHER,MTHSVFCYNBDYFN-UHFFFAOYSA-N,C(COCCO)O,NA,"BA, CA, EA, FA, GA, H, K, N, O, P","A, B",5,TRUE,10
